185198;14
185199;8
138654;146
137831;1
53017;58
185191;40
139704;10
185193;1
185197;34
171113;36
209196576;1
7323408;1
186160;73
104958736;1
144458;1
51899;1
180261;46
186712;184
163265;14
186717;131
175426;10
186714;1
162643;4
152058;12
162393;13
174823;1
74022;4
172337;1
174436;47
155028;24
41338;2
102251;1
102257;2
4782;1
176686;46
176687;16
123318;106
176681;53
185991;131
185620;7
185995;1
185624;3
185999;1
103925;1
106153;3
183729;2
41113;19
171304;174
171302;15
131814;2
152907;13
183720;10
134889;57
186530;5
163514;6
183724;34
186535;3
163517;6
175557;1
175791;2
45056;10
175799;1
4388;3
2345;1
6036544;1
156596;45
94174;11
151990;1
90101;1
177158;58
104629;17
90498;1
177153;2
172209;11
184718;66
185375;110
185376;77
178889;5
165040;13
185379;8
18022;1
8219;11
133666;1
178880;25
282644192;1
94820;10
167446;4
92348;1
179939;15
130732;173
73234;30
179935;20
179426;19
179937;22
92347;63
102878;121
153892;8
153893;3
97458;1
162399;32
177481;28
177487;29
177485;60
127768;38
177489;59
145285;1
47286;1
6394336;1
184579;1
184575;25
175427;14
109655;2
153410;1
184570;23
180264;4
3510;1
129687;1
171682;73
147155;5
69318;9
533877328;1
511784032;1
178665;9
213165376;1
169615;19
169614;8
7991;2
168748;2
6484;2
168744;2
168740;12
168741;9
165946;194
164095;70
24353;38
177938;31
173924;59
181840;2
120336;38
180863;2
177932;20
25772;1
164098;38
177936;140
177935;157
170214;18
54946;1
131265712;1
164412;1
96427;16
39881;6
111303;74
79858;39
167762;19
9955;1
154885;9
175966;67
179238;6
175965;156
178327;96
178326;1
105611088;1
178328;106
179236;1
179237;2
175968;9
185586;62
31325872;1
547569456;1
183516;43
168696;26
168697;92
182028;14
92647;7
181996;9
181997;77
72191;29
170699;7
180468;51
180466;1
56819;5
159868272;1
146365;15
167140;1
14880;2
165321;2
167149;21
166494;6
166495;7
182021;19
111127;4
115516;1
134427;1
115510;9
115840;29
175176;2
6236;1
154268;7
111564;2
88249;1
90245;5
90246;7
90247;8
168356;19
183519;4
90248;11
90249;5
168351;4
168350;46
170074;10
177693;10
185410;1
128321;3
128326;1
76140;1
170406;15
81700;2
168225;46
182716;4
244973184;1
3361888;1
537290960;1
244518016;1
521011088;1
9042;3
175318;43
166360;9
183101;1
183100;3
4561;1
183105;2
89998;1
129878;2
183109;34
183108;48
140779;6
160242;20
186636;2
160246;3
114225;60
114226;36
93246;50
147812;19
93241;19
114229;119
186533;23
184583;1
42520;1
163511;6
184588;8
74795;1
186687;12
159819456;1
147146;19
88165;7
178679;18
163516;13
178674;1
93777;1
186534;25
121898832;1
80003;1
76870;1
162277;1
33958;45
6166416;1
526126976;1
137952;7
131731;113
69052;154
48999;1
88370;161
176197;3
180217;3
186722;70
88770;3
186720;14
174836;34
174835;1
4380;4
162672;1
162673;1
186728;8
184904;11
184906;5
176699;41
184901;31
176697;31
5995536;1
176691;7
41610;163
176692;1
178096;1
178091;7
176518;16
176516;34
23368;80
176514;13
176515;27
176513;1
181620;15
181621;16
97286;1
4544;2
159606;122
133474;86
168564;15
164239;1
160759;10
168567;14
168562;2
168563;2
164897;11
168568;10
168569;23
101665;2
177020;4
177023;53
177025;1
43479;2
66321;64
177029;7
67107;81
187291;4
182117;4
5040;1
180079;2
115667;1
177124;12
177127;4
66187;1
180073;13
185364;17
185363;7
2441184;1
79526;2
277672544;1
184764;68
165056;41
165054;23
76727;66
8738;6
185368;13
105384;1
179410;2
179411;1
73241;2
108534;1
165372;24
56493;4
186108;1
162494;3
3573888;1
123993632;1
111691;2
179912;117
178410;8
109800;4
162499;7
91057;42
54089;3
169769;1
169768;3
169819;1
174588;4
169765;6
169764;20
187107;34
171064;2
187101;4
91058;1
187102;13
183462;1
170048;33
157771;3
157770;22
172477;36
2853312;1
86887;1
183461;31
122722;29
166804;1
166371;29
140212;32
6225040;1
183464;3
4511;5
167572;13
167573;3
186105;8
167577;43
83149;3
174231;11
115301;8
182508;43
16033;1
186587;6
165935;190
73740;2
182504;3
29262;2
181856;1
181851;2
100498;8
180859;21
9568;1
177907;126
180854;1
180855;35
4057808;1
173939;19
180851;109
5292;2
186581;1
75568;1
38540;13
93974;119
167758;1
164152;46
54836;4
17031;1
167753;25
162022;4
185637;22
185980;8
172509;6
185638;2
159709728;1
102023712;1
169584;17
169587;162
186509;13
88154;55
88151;2
183751;3
183752;1
163052;94
182276;5
179982;70
32530;14
128864;3
166156;5
166155;61
166621;7
165046;107
166623;15
3479152;1
109921680;1
119519;1
167174;7
112370;54
167171;4
105357216;1
166483;89
112378;16
166484;4
175181;61
175182;49
165429;2
116654;1
175188;21
175189;2
4199;1
124312;25
181126;12
154275;18
85152;16
21594;3
184559;1
85153;4
105746080;1
168363;10
30973;2
186187;25
168364;1
30977;2
168369;24
169378;19
90472;3
90470;1
180066;5
5031;1
187033;1
184773;13
184553;3
3608;1
76738;127
179421;3
184779;5
67623;5
169590;5
161012;62
109492;2
95402;1
119574;1
95408;10
127962;8
127965;17
94809;1
3311376;1
178465;65
178466;16
3877360;1
168865;6
49474;3
159410;2
159412;57
97475;1
105208160;1
184595;8
113543;2
184593;174
209160864;1
6245360;1
153952;65
168378;4
113551696;1
19651;3
153291;48
186602;28
185357;176
174130;4
22313;42
69880;1
162534;1
3420;1
178316;156
178314;9
137365;2
178313;3
179221;2
160987;1
184585;1
36609;1
173443;7
173442;1
3805472;1
166348;23
169493;1
168683;150
156823;187
156352;66
184400;3
156827;90
182987;6
182985;3
164087;102
160507;17
182980;17
173446;4
129501;12
180453;23
81947;6
55356;1
93584;14
135967;60
173759;2
181634;3
173755;2
173754;10
181631;28
65999;9
181633;1
508758784;1
83827;68
97290;60
67599;2
156647;112
105067952;1
164882;39
3154576;1
81223;1
104083;7
176981;3
176980;25
176983;1
164888;19
176984;2
187260;157
82152;1
